processes,points,time_mean,time_std,pi_estimate,speedup,efficiency,t1
1.0,1000000.0,0.019566,5.992495306631528e-05,3.14244,1.0,1.0,0.019566
2.0,1000000.0,0.009964333333333334,0.00020903667939702064,3.139165333333333,1.9636035192185461,0.9818017596092731,0.019566
4.0,1000000.0,0.00722,0.0009604754031207671,3.139909333333333,2.709972299168975,0.6774930747922437,0.019566
8.0,1000000.0,0.004463333333333333,0.00015957547848379874,3.1420906666666664,4.383719193427932,0.5479648991784914,0.019566
1.0,5000000.0,0.09892266666666667,0.0013500793803822562,3.1413394666666665,1.0,1.0,0.09892266666666667
2.0,5000000.0,0.049507,0.00056805281444598,3.1423589333333335,1.9981551430437448,0.9990775715218724,0.09892266666666667
4.0,5000000.0,0.030396666666666666,0.006754378012321588,3.1415903999999997,3.254391928939577,0.8135979822348942,0.09892266666666667
8.0,5000000.0,0.018134333333333332,0.0020314845146673726,3.1421669333333333,5.454993290811169,0.6818741613513961,0.09892266666666667
1.0,10000000.0,0.19655333333333336,0.0007441541059036999,3.1414369333333334,1.0,1.0,0.19655333333333336
2.0,10000000.0,0.102866,0.003800333143291524,3.1409656,1.910770646601728,0.955385323300864,0.19655333333333336
4.0,10000000.0,0.05600366666666667,0.005173288154871457,3.141738933333334,3.5096511537935022,0.8774127884483756,0.19655333333333336
8.0,10000000.0,0.03976366666666666,0.0023542676851482556,3.1421546666666664,4.943038452188348,0.6178798065235435,0.19655333333333336
1.0,20000000.0,0.39398466666666665,0.0019146373895161622,3.1411706,1.0,1.0,0.39398466666666665
2.0,20000000.0,0.20432899999999998,0.008689938031999996,3.1417867333333334,1.92818771034296,0.96409385517148,0.39398466666666665
4.0,20000000.0,0.12586866666666666,0.021280958538875388,3.1410002,3.130125050979063,0.7825312627447657,0.39398466666666665
8.0,20000000.0,0.07544566666666667,0.008290374076803369,3.1412028,5.2220980219760795,0.6527622527470099,0.39398466666666665
